Name,ID,Race,Rank,Role,Training,Course,Iteration ,Started,Ended,InStat,Outstat,OutReason
"Baker, Carly U.",37125911,B,CPT,12K,10A,1,200,1/1/2018,1/31/2018,N,F,Exam 1
"Bass, McKenzie R.",874350671,C,SSG,18K,10E,2,201,2/18/2020,3/18/2018,R,P,
"Bass, McKenzie R.",874350671,C,SSG,18K,10E,3,312,4/1/2018,6/1/2018,N,P,
"Bean, Claire U.",117713016,C,SSG,12A,10A,1,200,1/1/2018,1/31/2018,R,P,
"Bean, Claire U.",117713016,C,SSG,12A,10A,2,201,2/18/2020,3/18/2018,N,F,Medical
"Beck, Dean I.",811062041,C,SSG,12C,10E,1,200,1/1/2018,1/31/2018,R,P,
"Beck, Dean I.",811062041,C,SSG,12C,10E,2,201,2/18/2020,3/18/2018,N,F,Exam 8
"Blevins, Vance N.",166791574,C,SSG,15E,10A,1,200,1/1/2018,1/31/2018,N,P,
"Blevins, Vance N.",166791574,C,SSG,15E,10A,2,201,2/18/2020,3/18/2018,N,P,
"Blevins, Vance N.",166791574,C,SSG,15E,10A,3,312,4/1/2018,6/1/2018,N,F,Personal 
"Bradford, Diana K.",541930368,C,SSG,12A,10A,1,200,1/1/2018,1/31/2018,R,P,
"Bradford, Diana K.",541930368,C,SSG,12A,10A,2,201,2/18/2020,3/18/2018,N,P,
"Bradford, Diana K.",541930368,C,SSG,12A,10A,3,312,4/1/2018,6/1/2018,N,F,Personal 
"Burton, Maisie C.",793190141,C,SFC,12M,10A,3,312,4/1/2018,6/1/2018,R,F,Exam 1
"Cameron, Dylan G.",223564378,C,SSG,12M,10A,1,200,1/1/2018,1/31/2018,N,P,
"Cameron, Dylan G.",223564378,C,SSG,12M,10A,2,201,2/18/2020,3/18/2018,N,P,
"Cameron, Dylan G.",223564378,C,SSG,12M,10A,3,312,4/1/2018,6/1/2018,N,P,
"Copeland, Alice G.",433203635,C,CPT,12P,10E,1,200,1/1/2018,1/31/2018,N,F,Exam 1
"Deleon, Dara K.",915774822,C,SFC,12A,10A,3,312,4/1/2018,6/1/2018,N,P,
"Ellis, Kaseem N.",758285811,C,SSG,16A,10E,2,201,2/18/2020,3/18/2018,N,P,
"Ellis, Kaseem N.",758285811,C,SSG,16A,10E,3,312,4/1/2018,6/1/2018,N,P,
"Fuentes, Sandra Z.",267960789,C,SSG,12E,10C,1,200,1/1/2018,1/31/2018,R,P,
"Fuentes, Sandra Z.",267960789,C,SSG,12E,10C,2,201,2/18/2020,3/18/2018,N,F,Exam 9
"Gibbs, Castor Z.",737209742,C,SSG,12B,10A,1,200,1/1/2018,1/31/2018,R,P,
"Gibbs, Castor Z.",737209742,C,SSG,12B,10A,2,201,2/18/2020,3/18/2018,N,P,
"Gonzales, Carter J.",306930652,C,SFC,12L,10E,3,312,4/1/2018,6/1/2018,R,P,
"Guerra, Hakeem J.",572359404,C,SSG,10H,10A,2,201,2/18/2020,3/18/2018,R,P,
"Guerra, Hakeem J.",572359404,C,SSG,10H,10A,3,312,4/1/2018,6/1/2018,N,F,Medical
"Harmon, Hilel L.",63005623,C,SFC,18K,10E,3,312,4/1/2018,6/1/2018,N,F,Medical
"Harrell, Adele Y.",842122137,C,SFC,12R,10E,3,312,4/1/2018,6/1/2018,R,F,Exam 9
"Harrison, Whilemina I.",806171625,C,SSG,12R,10E,1,200,1/1/2018,1/31/2018,N,P,
"Harrison, Whilemina I.",806171625,C,SSG,12R,10E,2,201,2/18/2020,3/18/2018,N,P,
"Harrison, Whilemina I.",806171625,C,SSG,12R,10E,3,312,4/1/2018,6/1/2018,N,F,Exam 19
"Hartman, Melissa Z.",797307865,C,SSG,19C,10B,2,201,2/18/2020,3/18/2018,N,F,Exam 8
"Jacobs, Miranda V.",755327798,C,CPT,12C,10A,1,200,1/1/2018,1/31/2018,N,F,Withdrew
"Joyner, Tatiana U.",745967752,C,SFC,15A,10D,3,312,4/1/2018,6/1/2018,N,P,
"Justice, Heidi W.",639087584,C,CPT,12S,10B,1,200,1/1/2018,1/31/2018,N,F,Exam 4
"Kerr, David D.",30121453,C,SSG,11H,10A,2,201,2/18/2020,3/18/2018,R,P,
"Kerr, David D.",30121453,C,SSG,11H,10A,3,312,4/1/2018,6/1/2018,N,F,Exam 1
"Knox, Rylee J.",350426888,C,SFC,12L,10D,3,312,4/1/2018,6/1/2018,R,F,Medical
"Larsen, Gary E.",759555667,C,CPT,12R,10A,1,200,1/1/2018,1/31/2018,N,F,Exam 2
"Lawrence, Bethany P.",31416001,C,SFC,11H,10A,3,312,4/1/2018,6/1/2018,N,F,Personal 
"Levy, Chase F.",405709494,C,SFC,12W,10D,2,201,2/18/2020,3/18/2018,N,F,Other
"Mcfadden, Jelani R.",517386918,C,SSG,12F,10C,1,200,1/1/2018,1/31/2018,N,P,
"Mcfadden, Jelani R.",517386918,C,SSG,12F,10C,2,201,2/18/2020,3/18/2018,N,P,
"Mcfadden, Jelani R.",517386918,C,SSG,12F,10C,3,312,4/1/2018,6/1/2018,N,P,
"Mcmahon, Abigail H.",62655394,C,CPT,12M,10E,1,200,1/1/2018,1/31/2018,N,F,Exam 4
"Mcmahon, Keelie O.",329790471,C,CPT,12M,10D,1,200,1/1/2018,1/31/2018,R,P,
