Name,ID,Race,Rank,Role,Training,Course,Iteration ,Started,Ended,InStat,Outstat,OutReason
"Wilson, Wade",183456644,C,SSG,13A,10A,1,101,9/1/2017,10/30/2017,N,F,Exam 2
"Wilson, Wade",183456644,C,SSG,13A,10A,1,102,11/1/2017,11/30/2017,R,P,
"Wilson, Wade",183456644,C,SSG,13A,10A,2,200,12/1/2017,12/31/2017,N,F,Exam 3
"Wilson, Wade",183456644,C,SSG,13A,10A,2,210,1/1/2018,2/28/2018,R,P,
"Wilson, Wade",183456644,C,SSG,13A,10A,3,300,2/18/2018,3/18/2018,N,F,Exam 3
"Wilson, Wade",183456644,C,SSG,13A,10A,3,310,4/18/2018,5/18/2018,R,F,Exam 3
"Wilson, Wade",183456644,C,SSG,13A,10A,3,301,6/18/2018,7/18/2018,R,F,Exam 3
"Wilson, Wade",183456644,C,SSG,13A,10A,3,312,8/18/2018,9/18/2018,R,P,
"Blaze, Johnny",134763392,B,CPT,12D,10A,1,101,10/1/2017,11/30/2017,N,F,Exam 2
"Blaze, Johnny",134763392,B,CPT,12D,10A,1,200,1/1/2018,1/31/2018,R,P,
"Blaze, Johnny",134763392,B,CPT,12D,10A,2,201,2/18/2020,3/18/2018,N,P,
"Blaze, Johnny",134763392,B,CPT,12D,10A,3,312,4/1/2018,6/1/2018,N,P,
"Deleon, Dara K.",915774822,C,SFC,12A,10A,1,101,10/1/2017,11/30/2017,N,P,
"Deleon, Dara K.",915774822,C,SFC,12A,10A,2,200,12/1/2017,12/31/2017,N,F,Exam 1
"Deleon, Dara K.",915774822,C,SFC,12A,10A,2,210,1/1/2018,2/28/2018,R,P,
"Stark, Tony",123764432,C,SSG,15E,10A,1,200,1/1/2018,1/31/2018,N,P,
"Stark, Tony",123764432,C,SSG,15E,10A,2,201,4/1/2018,6/1/2018,N,P,
"Stark, Tony",123764432,C,SSG,15E,10A,3,312,7/1/2018,8/18/2018,N,P,
"Burton, Maisie C.",793190141,C,SFC,12M,10A,1,101,10/1/2017,11/30/2017,N,P,
"Burton, Maisie C.",793190141,C,SFC,12M,10A,2,200,12/1/2017,12/31/2017,N,P,
