FY,Course Cd,Course,Class No,Name,SSN,Start Date,End Date,Ctry,Comp,Rnk,PMOS,Training MOS,Gender,IPStatus Cd,IPStatus Reason,OPStatus Cd,OPReason,Remarks
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Baker, Carly U.","037125911","2018-01-01","2018-01-31","","C","CPT","12K","10A","F","N","","F","Exam 1",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Bass, McKenzie R.","874350671","2020-02-18","2018-03-18","","C","SSG","18K","10E","M","R","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Bass, McKenzie R.","874350671","2018-04-01","2018-06-01","","C","SSG","18K","10E","M","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Bean, Claire U.","117713016","2018-01-01","2018-01-31","","C","SSG","12A","10A","F","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Bean, Claire U.","117713016","2020-02-18","2018-03-18","","C","SSG","12A","10A","F","N","","F","Medical",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Beck, Dean I.","811062041","2018-01-01","2018-01-31","","C","SSG","12C","10E","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Beck, Dean I.","811062041","2020-02-18","2018-03-18","","C","SSG","12C","10E","M","N","","F","Exam 8",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Blevins, Vance N.","166791574","2018-01-01","2018-01-31","","C","SSG","15E","10A","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Blevins, Vance N.","166791574","2020-02-18","2018-03-18","","C","SSG","15E","10A","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Blevins, Vance N.","166791574","2018-04-01","2018-06-01","","C","SSG","15E","10A","M","N","","F","Personal",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Bradford, Diana K.","541930368","2018-01-01","2018-01-31","","C","SSG","12A","10A","F","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Bradford, Diana K.","541930368","2020-02-18","2018-03-18","","C","SSG","12A","10A","F","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Bradford, Diana K.","541930368","2018-04-01","2018-06-01","","C","SSG","12A","10A","F","N","","F","Personal",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Burton, Maisie C.","793190141","2018-04-01","2018-06-01","","C","SFC","12M","10A","F","R","","F","Exam 1",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Cameron, Dylan G.","223564378","2018-01-01","2018-01-31","","C","SSG","12M","10A","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Cameron, Dylan G.","223564378","2020-02-18","2018-03-18","","C","SSG","12M","10A","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Cameron, Dylan G.","223564378","2018-04-01","2018-06-01","","C","SSG","12M","10A","M","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Copeland, Alice G.","433203635","2018-01-01","2018-01-31","","C","CPT","12P","10E","F","N","","F","Exam 1",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Deleon, Dara K.","915774822","2018-04-01","2018-06-01","","C","SFC","12A","10A","F","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Ellis, Kaseem N.","758285811","2020-02-18","2018-03-18","","C","SSG","16A","10E","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Ellis, Kaseem N.","758285811","2018-04-01","2018-06-01","","C","SSG","16A","10E","M","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Fuentes, Sandra Z.","267960789","2018-01-01","2018-01-31","","C","SSG","12E","10C","F","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Fuentes, Sandra Z.","267960789","2020-02-18","2018-03-18","","C","SSG","12E","10C","F","N","","F","Exam 9",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Gibbs, Castor Z.","737209742","2018-01-01","2018-01-31","","C","SSG","12B","10A","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Gibbs, Castor Z.","737209742","2020-02-18","2018-03-18","","C","SSG","12B","10A","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Gonzales, Carter J.","306930652","2018-04-01","2018-06-01","","C","SFC","12L","10E","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Guerra, Hakeem J.","572359404","2020-02-18","2018-03-18","","C","SSG","10H","10A","M","R","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Guerra, Hakeem J.","572359404","2018-04-01","2018-06-01","","C","SSG","10H","10A","M","N","","F","Medical",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Harmon, Hilel L.","063005623","2018-04-01","2018-06-01","","C","SFC","18K","10E","M","N","","F","Medical",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Harrell, Adele Y.","842122137","2018-04-01","2018-06-01","","C","SFC","12R","10E","F","R","","F","Exam 9",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Harrison, Whilemina I.","806171625","2018-01-01","2018-01-31","","C","SSG","12R","10E","F","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Harrison, Whilemina I.","806171625","2020-02-18","2018-03-18","","C","SSG","12R","10E","F","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Harrison, Whilemina I.","806171625","2018-04-01","2018-06-01","","C","SSG","12R","10E","F","N","","F","Exam 19",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Hartman, Melissa Z.","797307865","2020-02-18","2018-03-18","","C","SSG","19C","10B","F","N","","F","Exam 8",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Jacobs, Miranda V.","755327798","2018-01-01","2018-01-31","","C","CPT","12C","10A","F","N","","F","Withdrew",""
