Name,ID,Race,Rank,Role,Training,Course,Iteration,Started,Ended,InStat,Outstat,OutReason
"Baker, Carly U.","037125911","C","CPT","12K","10A","1","200","1/1/2018","1/31/2018","N","F","Exam 1"
"Bass, McKenzie R.","874350671","C","SSG","18K","10E","2","201","2/18/2020","3/18/2018","R","P",""
"Bass, McKenzie R.","874350671","C","SSG","18K","10E","3","312","4/1/2018","6/1/2018","N","P",""
"Bean, Claire U.","117713016","C","SSG","12A","10A","1","200","1/1/2018","1/31/2018","R","P",""
"Bean, Claire U.","117713016","C","SSG","12A","10A","2","201","2/18/2020","3/18/2018","N","F","Medical"
"Beck, Dean I.","811062041","C","SSG","12C","10E","1","200","1/1/2018","1/31/2018","R","P",""
"Beck, Dean I.","811062041","C","SSG","12C","10E","2","201","2/18/2020","3/18/2018","N","F","Exam 8"
"Blevins, Vance N.","166791574","C","SSG","15E","10A","1","200","1/1/2018","1/31/2018","N","P",""
"Blevins, Vance N.","166791574","C","SSG","15E","10A","2","201","2/18/2020","3/18/2018","N","P",""
"Blevins, Vance N.","166791574","C","SSG","15E","10A","3","312","4/1/2018","6/1/2018","N","F","Personal"
"Bradford, Diana K.","541930368","C","SSG","12A","10A","1","200","1/1/2018","1/31/2018","R","P",""
"Bradford, Diana K.","541930368","C","SSG","12A","10A","2","201","2/18/2020","3/18/2018","N","P",""
"Bradford, Diana K.","541930368","C","SSG","12A","10A","3","312","4/1/2018","6/1/2018","N","F","Personal"
"Burton, Maisie C.","793190141","C","SFC","12M","10A","3","312","4/1/2018","6/1/2018","R","F","Exam 1"
"Cameron, Dylan G.","223564378","C","SSG","12M","10A","1","200","1/1/2018","1/31/2018","N","P",""
"Cameron, Dylan G.","223564378","C","SSG","12M","10A","2","201","2/18/2020","3/18/2018","N","P",""
"Cameron, Dylan G.","223564378","C","SSG","12M","10A","3","312","4/1/2018","6/1/2018","N","P",""
"Copeland, Alice G.","433203635","C","CPT","12P","10E","1","200","1/1/2018","1/31/2018","N","F","Exam 1"
"Deleon, Dara K.","915774822","C","SFC","12A","10A","3","312","4/1/2018","6/1/2018","N","P",""
"Ellis, Kaseem N.","758285811","C","SSG","16A","10E","2","201","2/18/2020","3/18/2018","N","P",""
"Ellis, Kaseem N.","758285811","C","SSG","16A","10E","3","312","4/1/2018","6/1/2018","N","P",""
"Fuentes, Sandra Z.","267960789","C","SSG","12E","10C","1","200","1/1/2018","1/31/2018","R","P",""
"Fuentes, Sandra Z.","267960789","C","SSG","12E","10C","2","201","2/18/2020","3/18/2018","N","F","Exam 9"
"Gibbs, Castor Z.","737209742","C","SSG","12B","10A","1","200","1/1/2018","1/31/2018","R","P",""
